	Histologic_origin	AVE_Ubi	Ubi_level	ATG10	ATG7	CDC20	CUL1	DDB2	ELOB	GTF3C1	HERC6	ITCH	MDM2	PPP2R2C	REN	RNF43	SPOP	TAF3	UBA7	UBE2C	UBE2T	VHL	WDR76
GSM5556189	Lung	99.588659	low	95.68358	87.83887	70.26018	100.84351	100.83502	140.5348	82.56931	75.7037	90.36585	99.03985	150.44398	143.60177	97.62572	107.5718	77.44958	117.39796	111.01022	76.99528	87.13092	78.87128
GSM5556187	Lung	101.6972145	low	93.6151	92.99857	73.89161	102.11268	108.1117	142.31659	79.39384	78.93336	75.69394	70.65394	162.10845	153.08618	93.69341	106.93969	98.33426	113.54052	124.35109	88.66072	85.13381	90.37483
GSM5556136	Lung	102.729937	low	87.76116	97.3679	89.67668	110.4876	89.96706	126.5917	85.50273	120.79445	102.00768	109.14803	127.49506	113.8838	98.83654	103.93038	81.65069	116.98269	126.21823	94.84953	90.97833	80.4685
GSM5556178	Lung	103.20729	low	93.29838	82.89283	76.97818	115.84057	95.0497	144.06756	74.5342	65.88883	86.67067	67.11263	171.65379	164.44728	98.51801	101.89832	105.01648	117.46296	139.96436	81.74576	94.69876	86.40653
GSM5556185	Lung	103.4666045	low	90.99222	81.50838	80.68485	105.67367	93.70584	149.60167	97.09758	69.71786	90.05941	84.07145	169.41312	142.37919	106.37733	106.33719	93.22475	115.6809	134.84463	78.59207	91.83911	87.53087
GSM5556228	Lung	103.5808415	low	94.17244	96.72965	76.01548	110.86716	94.62707	145.91768	84.80283	71.63721	101.1217	79.15487	153.86415	148.63091	96.48407	97.64425	100.07249	118.8543	132.24778	79.49616	97.46447	91.81216
GSM5556137	Lung	103.592311	low	105.9107	99.89176	82.42213	110.68771	94.90276	141.59815	105.68184	127.56076	110.06617	95.13971	115.49107	115.4296	96.058	112.76247	87.61171	124.21633	91.64744	77.52921	90.21134	87.02736
GSM5556226	Lung	103.7738365	low	98.44123	82.66912	83.90549	96.42809	93.60422	151.48405	81.46443	73.24792	76.19698	84.14729	184.34415	146.38011	106.4928	98.33913	100.38333	131.4825	112.52668	83.89093	91.13644	98.91184
GSM5556179	Lung	103.8593555	low	95.31956	93.83692	79.05879	98.22429	102.73162	146.08126	72.34464	82.30825	95.8634	88.06753	167.27278	147.33153	97.50845	102.36929	80.10551	127.70988	142.64721	74.75478	96.29602	87.3554
GSM5556232	Lung	103.9598555	low	88.05423	88.61104	83.57674	97.03774	107.53756	139.07753	87.75122	95.72943	82.88803	88.93603	171.37492	131.78758	119.86262	111.6926	91.34866	126.2346	109.84676	81.94107	91.35384	84.55491
GSM5556181	Lung	104.0999385	low	85.467	89.69513	76.90755	114.57185	98.43739	145.2706	80.98846	67.11747	93.1642	82.87574	170.94468	170.00168	96.26092	110.23987	96.01283	121.08081	127.38094	80.29774	85.01936	90.26455
GSM5556135	Lung	104.1867115	low	84.30599	93.35451	69.41795	104.95831	92.25597	145.11195	101.45382	112.74709	110.01487	99.07052	126.67475	115.01354	98.17809	99.45581	90.11312	117.12607	142.69211	94.51168	100.14767	87.13041
GSM5556230	Lung	104.188941	low	95.97957	95.69995	75.52589	97.30144	108.04494	118.47728	86.09018	78.78751	93.13525	89.35989	180.92377	152.31807	92.27375	108.00091	93.66686	112.09277	144.46379	87.81038	85.9213	87.90532
GSM5556234	Lung	104.1991845	low	94.48648	86.2771	80.46863	98.32368	100.61373	151.20026	84.33007	74.85286	83.21962	81.49746	180.0692	151.91282	112.25203	100.2673	99.05083	119.03706	102.65579	89.76358	100.88004	92.82515
GSM5556133	Lung	104.4763365	low	101.36922	103.10173	82.54448	102.59507	98.46474	141.18264	93.2758	118.08617	105.61285	93.03077	131.50247	120.6025	105.16243	102.39497	92.3734	115.3844	117.28968	89.6691	96.98121	78.9031
GSM5556231	Lung	104.506862	low	102.75762	87.9017	78.3472	93.19316	92.68192	141.50868	87.18701	69.36681	85.80078	94.26809	192.14325	150.10788	95.03313	104.9001	83.10109	127.97797	126.87584	79.38277	106.97632	90.62592
GSM5556188	Lung	104.7341155	low	102.68035	97.33528	69.45741	109.96385	98.5264	136.92315	79.64641	69.43076	84.51715	83.39512	160.21851	167.06879	107.52337	103.52229	103.83977	127.63166	131.05367	87.28907	91.75821	82.90109
GSM5556139	Lung	105.4355955	low	92.54466	91.02503	96.51687	106.35016	96.45488	145.97731	105.18561	96.66208	100.66431	102.19778	121.63259	99.73922	95.41767	115.95841	86.11181	111.45706	162.43323	103.59991	96.72155	82.06177
GSM5556184	Lung	105.509526	low	99.1569	84.67486	75.63599	115.0764	102.3024	155.9497	82.80395	84.01161	87.25779	75.02881	185.43199	144.15089	102.77945	110.06069	87.94408	109.76778	121.64121	89.32561	104.48792	92.70249
GSM5556227	Lung	105.5134455	low	101.69743	79.10595	76.88566	105.84599	94.72447	158.30947	81.83475	81.83535	81.16785	79.9106	176.63963	161.98261	103.78661	97.53654	107.90148	127.33158	116.90098	84.93127	95.50066	96.44003
GSM5556233	Lung	105.569447	low	92.42955	92.34905	79.34976	99.32242	98.52347	140.30486	92.36765	87.15725	73.1552	91.96154	183.63421	149.08784	102.45866	102.34546	102.78365	121.93139	131.04164	82.4074	100.56436	88.21358
GSM5556180	Lung	105.603067	low	99.15358	94.46696	77.61991	109.41049	100.349	143.72971	82.46885	79.90288	90.45534	76.63728	168.40975	164.7209	116.46149	101.27928	100.45014	130.00393	116.00233	85.43045	85.14224	89.96683
GSM5556229	Lung	105.676399	low	93.78683	80.58226	89.03718	110.40831	96.30621	149.68498	96.09044	74.73602	97.67558	89.78429	177.52132	148.57205	84.86235	112.53457	103.95442	114.84606	111.30511	89.09263	101.93362	90.81375
GSM5556236	Lung	105.6813435	low	95.02385	105.95978	71.91494	111.54938	98.13875	143.49011	92.64029	75.99887	74.14363	87.00407	174.23554	150.54496	112.93821	102.09498	119.67123	118.5074	131.30018	74.01288	89.73501	84.72281
GSM5556132	Lung	105.7104275	low	100.35222	109.63943	80.83397	109.07212	86.02477	130.85386	107.61416	118.96917	111.95451	99.09028	128.02901	122.93165	106.12747	109.46584	100.86787	104.15946	112.88807	92.33431	92.71886	90.28152
GSM5556183	Lung	106.06882	low	97.11582	78.17173	78.49884	110.46321	97.58807	170.81192	64.96895	68.93097	74.65264	59.87045	200.99194	186.47245	103.96339	98.03904	97.25569	133.73668	129.98593	77.45104	94.60153	97.80611
GSM5556138	Lung	106.154224	low	93.40335	101.47568	68.15637	108.32476	97.50899	144.30708	100.26403	135.93032	109.03766	99.17139	119.90721	115.99463	103.31436	110.0105	84.79703	134.58769	106.67109	108.78273	95.32143	86.11818
GSM5556235	Lung	106.184555	low	107.28112	84.79172	76.17299	97.61033	96.47019	160.10107	90.07796	85.58112	93.12672	90.95287	165.84219	134.34495	121.94951	92.39871	104.99627	118.98572	111.78612	100.43105	106.6758	84.11469
